return_id,order_id,return_date,return_reason,refund_amount,refund_processed_days
72,18551,2024-08-14,Wrong Product,3215.45,2
73,33131,2024-10-08,Damaged,2845.72,8
74,38036,2024-01-10,Wrong Product,2358.22,7
75,13167,2024-06-02,Wrong Product,2195.28,3
76,28428,2025-01-09,Late Delivery,6022.87,4
77,11995,2024-05-10,Late Delivery,2126.9,2
78,2984,2024-12-07,Wrong Product,3067.57,2
79,39962,2024-04-30,Damaged,3512.03,1
80,27384,2024-10-01,Damaged,498.0,6
81,2495,2024-11-10,Not as Expected,1406.3,7
82,36458,2024-08-20,Wrong Product,7936.96,3
83,30414,2024-02-07,Damaged,3335.81,6
84,45265,2024-09-02,Not as Expected,7796.42,1
85,31521,2024-02-08,Size Issue,5730.63,5
86,29929,2024-05-17,Late Delivery,4753.12,3
87,10492,2024-10-13,Size Issue,5740.18,7
88,46966,2024-08-10,Not as Expected,2712.12,3
89,15420,2024-12-12,Size Issue,1450.59,1
90,44717,2024-08-23,Late Delivery,3594.65,8
91,37269,2024-04-04,Late Delivery,4200.16,3
92,13883,2024-04-08,Damaged,5459.55,4
93,5684,2024-08-18,Late Delivery,3097.81,7
94,11274,2024-02-21,Not as Expected,2903.93,9
95,24909,2024-04-09,Damaged,3835.38,3
96,47600,2024-02-09,Late Delivery,3516.5,2
97,4270,2024-03-30,Not as Expected,3530.03,9
98,8489,2024-06-03,Not as Expected,2236.1,8
99,6979,2024-08-19,Size Issue,4507.29,1
100,33259,2024-12-12,Size Issue,5899.87,2
101,24533,2024-06-10,Not as Expected,5022.46,9
102,25261,2024-04-17,Damaged,3862.0,2
103,9074,2024-03-02,Damaged,1334.37,2
104,27235,2024-02-06,Not as Expected,2052.73,5
105,1803,2024-07-17,Late Delivery,1190.86,8
106,41996,2024-03-18,Not as Expected,962.38,3
107,29647,2024-03-24,Late Delivery,2031.22,9
108,7399,2024-08-15,Damaged,1930.25,5
109,1112,2024-04-27,Not as Expected,2753.19,4
110,15022,2024-03-17,Wrong Product,721.57,3
111,28256,2024-06-03,Wrong Product,2497.48,2
112,22220,2024-02-21,Not as Expected,4395.6,9
113,5153,2024-06-21,Not as Expected,2048.73,4
114,22027,2024-04-21,Not as Expected,4606.52,9
115,10304,2024-03-02,Not as Expected,3805.75,3
116,49746,2024-05-14,Not as Expected,8161.6,9
117,46547,2024-08-20,Size Issue,738.01,8
118,17310,2024-06-22,Not as Expected,2984.28,8
119,12692,2024-05-19,Size Issue,2023.66,4
120,30381,2025-01-05,Size Issue,1673.29,1
121,35717,2024-08-01,Wrong Product,1127.44,2
122,12837,2024-01-15,Damaged,518.74,6
123,14702,2024-02-10,Damaged,4849.81,9
124,22704,2024-07-19,Size Issue,6500.37,5
125,39809,2024-12-28,Late Delivery,2840.93,5
126,4376,2024-04-12,Not as Expected,2581.34,8
127,7515,2024-07-07,Late Delivery,771.78,2
128,26837,2024-10-31,Not as Expected,986.53,8
129,6907,2024-10-28,Not as Expected,1054.15,4
130,21229,2024-04-29,Not as Expected,4418.21,2
131,22135,2024-09-15,Size Issue,999.54,8
132,24392,2024-11-19,Damaged,5992.93,6
133,23103,2024-09-01,Damaged,3173.02,9
134,17368,2024-02-07,Not as Expected,700.43,3
135,19992,2024-12-09,Size Issue,5219.82,9
136,29054,2024-02-08,Not as Expected,4736.53,7
137,6479,2024-09-27,Wrong Product,927.77,8
138,45135,2024-12-03,Damaged,6444.04,6
139,2407,2024-11-29,Not as Expected,4745.11,4
140,5604,2024-02-03,Wrong Product,5393.29,1
141,17154,2024-10-23,Size Issue,811.48,2
142,44574,2024-09-24,Not as Expected,3576.07,6
143,22332,2024-08-26,Size Issue,2137.69,8
144,3272,2024-12-20,Wrong Product,4389.98,2
145,35445,2024-02-24,Wrong Product,1090.63,6
146,12215,2024-01-13,Late Delivery,6612.02,3
147,14224,2024-07-07,Damaged,4023.86,1
148,13063,2024-07-06,Damaged,2567.61,2
149,37357,2024-09-27,Not as Expected,1661.7,1
150,40829,2024-01-26,Late Delivery,3719.58,3
151,47217,2024-08-26,Not as Expected,3635.87,1
152,47328,2024-08-14,Size Issue,4822.96,9
153,49653,2024-03-26,Wrong Product,4691.56,2
154,8874,2024-04-20,Late Delivery,5710.85,3
155,17445,2024-11-10,Late Delivery,3735.63,8
156,25059,2024-05-19,Size Issue,1774.34,6
157,23777,2024-12-28,Not as Expected,8025.69,1
158,33046,2024-09-28,Damaged,4394.37,4
159,4593,2024-08-12,Damaged,4907.96,8
160,41438,2024-10-23,Size Issue,4677.51,2
161,41338,2024-07-19,Damaged,2969.78,9
162,20843,2024-06-18,Damaged,5874.14,1
163,39592,2024-11-01,Wrong Product,4062.45,8
164,20852,2024-10-05,Not as Expected,4704.64,6
165,8441,2025-01-09,Not as Expected,7265.82,3
166,16180,2024-05-01,Size Issue,7323.46,5
167,13244,2024-07-28,Size Issue,5292.97,2
168,31177,2024-01-24,Damaged,3596.57,2
169,21097,2024-12-07,Damaged,909.88,1
170,42874,2024-11-26,Damaged,5525.2,2
171,43906,2024-06-09,Wrong Product,6201.84,5
172,8388,2024-08-13,Late Delivery,4808.63,1
173,19280,2024-04-13,Damaged,2558.36,6
174,5238,2024-12-10,Wrong Product,1726.14,5
175,35689,2024-03-06,Wrong Product,3178.08,8
176,43669,2024-07-16,Size Issue,7626.27,3
177,29114,2024-02-15,Late Delivery,1053.87,3
178,35752,2024-04-08,Late Delivery,2381.32,2
179,31620,2024-05-20,Late Delivery,2439.66,4
180,16659,2024-08-04,Not as Expected,924.17,3
181,29179,2024-01-17,Damaged,1392.78,7
182,7891,2024-12-28,Wrong Product,1135.1,8
183,11919,2024-04-18,Damaged,842.6,1
184,38728,2024-04-12,Late Delivery,1550.88,6
185,38776,2024-06-20,Damaged,5005.16,9
186,36441,2024-06-04,Not as Expected,7268.06,7
187,8572,2024-05-26,Late Delivery,499.9,6
188,36691,2025-01-02,Not as Expected,2205.64,1
189,37210,2024-04-04,Size Issue,2009.34,7
190,10319,2024-02-25,Wrong Product,4977.36,5
191,47178,2024-07-15,Late Delivery,3956.23,6
192,27302,2024-06-02,Not as Expected,448.76,2
193,20671,2024-07-27,Late Delivery,3271.18,9
194,12098,2024-05-10,Damaged,5222.58,1
195,34165,2024-09-18,Not as Expected,3329.8,3
196,16830,2024-02-03,Not as Expected,5756.33,8
197,12460,2024-07-15,Wrong Product,3914.97,3
198,3802,2024-12-06,Wrong Product,1958.61,3
199,41287,2024-07-14,Wrong Product,5706.93,3
200,12404,2025-01-10,Damaged,5055.17,5
201,47877,2024-02-01,Size Issue,1231.17,1
202,36748,2024-11-20,Size Issue,5580.26,2
203,49649,2024-05-29,Wrong Product,1023.66,7
204,33815,2024-04-08,Not as Expected,931.18,1
205,33145,2024-03-21,Wrong Product,2856.55,4
206,47757,2024-06-21,Wrong Product,6728.94,6
207,9125,2024-04-18,Damaged,5201.34,1
208,10552,2024-10-25,Late Delivery,8477.22,7
209,4679,2024-12-16,Wrong Product,4513.19,7
210,15745,2024-06-12,Damaged,2487.7,9
211,26862,2024-04-05,Damaged,3457.39,1
212,2657,2024-10-07,Damaged,1071.39,8
213,1059,2024-04-07,Wrong Product,5629.04,6
214,12649,2024-03-15,Damaged,1338.34,6
215,48850,2024-10-10,Size Issue,727.05,9
216,47852,2024-10-02,Late Delivery,3304.01,2
217,46714,2024-06-13,Late Delivery,3937.62,2
218,17341,2024-02-25,Wrong Product,3183.7,3
219,15858,2024-11-29,Size Issue,3191.81,3
220,11284,2024-08-12,Size Issue,2825.27,8
221,20469,2024-04-14,Damaged,2417.36,3
222,40720,2024-09-17,Not as Expected,3839.88,1
223,23464,2024-12-25,Late Delivery,1849.19,3
224,43377,2024-08-11,Wrong Product,5752.87,4
225,9962,2024-08-16,Late Delivery,2328.86,9
226,37260,2024-10-14,Late Delivery,2061.88,7
227,34207,2024-08-24,Not as Expected,3468.72,8
228,26085,2024-02-24,Size Issue,5060.06,9
229,44089,2024-09-29,Late Delivery,6445.65,8
230,4480,2024-02-05,Size Issue,4628.34,4
231,6052,2024-07-29,Late Delivery,2303.15,5
232,9088,2024-02-01,Damaged,1485.72,9
233,44154,2024-10-27,Damaged,1497.55,3
234,35627,2024-11-20,Size Issue,1947.58,1
235,48503,2024-05-17,Wrong Product,3954.09,5
236,31462,2024-08-17,Damaged,7594.68,4
237,3709,2024-10-05,Late Delivery,977.3,2
238,7232,2024-10-29,Not as Expected,4612.33,5
239,4562,2024-02-24,Size Issue,6058.63,8
240,22405,2024-04-26,Damaged,5000.63,6
241,12731,2025-01-01,Size Issue,4316.07,8
242,32075,2024-06-10,Damaged,6057.64,3
243,35566,2024-02-23,Late Delivery,4840.4,6
244,9075,2024-03-03,Size Issue,4489.52,9
245,31977,2024-11-27,Wrong Product,3402.85,5
246,25659,2024-01-27,Wrong Product,1345.29,9
247,24166,2024-07-26,Not as Expected,7360.95,6
248,21177,2024-12-26,Late Delivery,539.98,4
249,39159,2024-07-23,Damaged,4602.84,8
250,23737,2024-12-26,Late Delivery,6228.9,5
251,26640,2024-03-06,Damaged,2515.9,8
252,4751,2024-10-06,Damaged,5205.78,3
253,27215,2024-09-15,Wrong Product,6561.61,2
254,43640,2024-01-29,Late Delivery,5343.8,5
255,6684,2024-12-18,Damaged,935.59,6
256,16409,2024-03-12,Not as Expected,593.78,1
257,44665,2024-12-17,Wrong Product,6227.7,5
258,47742,2024-04-01,Wrong Product,2925.54,4
259,23540,2024-08-02,Damaged,7392.06,2
260,41633,2024-03-25,Late Delivery,7317.68,9
261,49867,2024-05-04,Damaged,5978.72,3
262,46334,2024-02-13,Late Delivery,877.77,3
263,29652,2024-09-06,Size Issue,3931.58,3
264,40528,2024-09-06,Size Issue,7842.42,3
265,28589,2024-04-09,Size Issue,4958.63,4
266,33160,2024-05-31,Size Issue,3132.77,4
267,5790,2024-08-08,Size Issue,2553.63,4
268,6396,2024-06-05,Size Issue,6084.37,7
269,10733,2024-01-16,Damaged,1869.25,9
270,6575,2024-09-26,Wrong Product,2488.27,6
271,40531,2024-08-16,Damaged,1707.87,9
272,19432,2024-02-02,Late Delivery,3815.52,6
273,47684,2024-05-16,Not as Expected,3587.39,5
274,43855,2024-09-21,Damaged,6581.36,8
275,27474,2024-03-20,Not as Expected,3593.9,1
276,41740,2024-11-03,Size Issue,1595.92,4
277,44061,2024-05-22,Size Issue,1451.83,2
278,12373,2024-12-21,Wrong Product,1359.29,2
279,26778,2024-04-21,Late Delivery,5226.57,4
280,10701,2024-02-13,Not as Expected,3150.66,8
281,48169,2024-08-04,Damaged,2961.83,1
282,25567,2024-03-16,Damaged,3362.08,3
283,36479,2024-04-14,Damaged,1781.82,9
284,19679,2024-07-05,Damaged,2631.93,5
285,3959,2024-04-15,Not as Expected,6178.53,7
286,2262,2024-08-09,Wrong Product,5440.88,7
287,2296,2024-09-10,Damaged,5225.48,2
288,34144,2024-04-19,Late Delivery,2101.63,2
289,452,2024-08-26,Not as Expected,1794.8,8
290,10539,2024-03-14,Damaged,5738.31,8
291,5888,2024-04-01,Damaged,3592.19,3
292,44692,2024-11-14,Not as Expected,4734.07,4
293,49919,2024-03-31,Late Delivery,514.54,3
294,39406,2024-11-21,Size Issue,1368.25,5
295,33797,2024-11-13,Late Delivery,1054.11,1
296,28032,2024-10-23,Not as Expected,3055.92,8
297,49290,2024-05-18,Damaged,1389.46,4
298,45632,2024-11-18,Wrong Product,7295.7,7
299,3858,2024-08-29,Late Delivery,3627.81,1
300,21594,2024-10-20,Damaged,1922.86,2
301,47158,2024-08-17,Size Issue,6712.51,1
302,807,2024-09-17,Damaged,924.09,1
303,18291,2024-11-20,Size Issue,3602.16,4
304,45812,2024-10-09,Damaged,329.53,8
305,35250,2024-04-07,Size Issue,5526.04,8
306,24864,2024-02-28,Damaged,6790.27,1
307,10032,2025-01-03,Late Delivery,3995.99,8
308,38069,2024-05-07,Size Issue,5605.51,4
309,45514,2024-07-07,Size Issue,6575.17,2
310,48502,2024-01-15,Late Delivery,1095.51,3
311,23176,2024-09-07,Damaged,2657.89,2
312,27112,2024-02-23,Not as Expected,1891.3,5
313,17771,2024-06-26,Damaged,1704.26,5
314,47298,2024-07-26,Damaged,6057.31,3
315,4363,2024-05-25,Late Delivery,2515.84,4
316,47171,2024-05-15,Size Issue,5989.19,8
317,31523,2024-01-24,Damaged,849.99,7
318,22901,2024-12-04,Size Issue,1469.52,4
319,7932,2024-06-04,Wrong Product,8687.91,7
320,33195,2024-03-11,Not as Expected,1124.02,3
321,3589,2024-04-18,Not as Expected,5108.54,2
322,7658,2024-05-24,Damaged,4163.21,9
323,22262,2024-05-17,Wrong Product,1657.51,8
324,44256,2024-06-22,Wrong Product,1569.87,5
325,33417,2024-08-16,Not as Expected,4269.13,6
326,41435,2024-12-30,Not as Expected,2523.11,2
327,42696,2024-09-15,Size Issue,1726.35,3
328,3076,2024-07-30,Late Delivery,5024.83,2
329,40177,2024-10-12,Wrong Product,1728.8,2
330,48736,2024-10-16,Size Issue,1926.06,1
331,5579,2024-09-28,Wrong Product,1628.06,5
332,47738,2025-01-04,Late Delivery,2142.29,9
333,33313,2024-08-20,Not as Expected,3899.08,7
334,44240,2025-01-01,Late Delivery,2082.42,3
335,41441,2024-01-16,Late Delivery,3155.41,8
336,25313,2024-07-05,Not as Expected,829.05,1
337,20872,2024-06-06,Damaged,3734.55,1
338,37621,2024-05-21,Late Delivery,1033.58,4
339,8319,2024-05-27,Not as Expected,4492.95,5
340,17574,2024-11-22,Damaged,3619.59,5
341,996,2024-12-04,Size Issue,3159.69,8
342,10423,2024-01-25,Late Delivery,1345.25,3
343,40459,2024-07-20,Wrong Product,5489.96,6
344,4070,2024-10-05,Wrong Product,6260.34,7
345,13261,2024-12-24,Not as Expected,4831.38,8
346,7081,2024-12-31,Late Delivery,2489.13,1
347,45178,2024-02-21,Damaged,2119.95,7
348,21894,2024-11-27,Size Issue,5258.77,6
349,38050,2024-10-07,Wrong Product,943.55,1
350,15520,2024-05-13,Not as Expected,7393.25,5
351,49161,2024-05-16,Not as Expected,3913.47,8
352,3531,2024-11-28,Wrong Product,355.33,7
353,4542,2024-07-08,Size Issue,2977.02,3
354,8235,2024-11-08,Late Delivery,6163.11,5
355,42866,2024-01-28,Late Delivery,674.85,6
356,33971,2024-07-27,Damaged,4128.77,6
357,13260,2024-04-11,Late Delivery,4750.07,9
358,41831,2024-08-05,Size Issue,5370.93,5
359,43070,2024-10-27,Wrong Product,1818.61,4
360,7429,2024-04-12,Size Issue,4917.53,4
361,22353,2024-12-21,Size Issue,1337.57,5
362,29441,2024-09-22,Size Issue,5449.6,3
363,39682,2024-08-12,Damaged,5490.73,8
364,48926,2024-07-01,Late Delivery,3547.88,3
365,183,2024-05-30,Not as Expected,6370.52,7
366,36851,2024-05-15,Late Delivery,5775.5,7
367,20362,2024-04-02,Wrong Product,2840.1,5
368,27106,2024-05-23,Not as Expected,2132.69,7
369,49337,2024-01-14,Wrong Product,4730.14,9
370,23310,2024-12-20,Size Issue,497.47,7
371,5288,2024-05-27,Wrong Product,7465.0,5
372,36944,2024-07-17,Damaged,606.67,2
373,14906,2024-11-25,Not as Expected,2814.9,7
374,16401,2024-09-14,Not as Expected,6777.69,3
375,34583,2024-07-10,Not as Expected,1756.72,1
376,44687,2024-06-08,Late Delivery,966.16,1
377,35805,2024-02-12,Wrong Product,1953.9,3
378,38624,2024-03-31,Size Issue,1140.69,1
379,22455,2024-03-13,Damaged,6511.45,8
380,8475,2024-05-15,Wrong Product,3077.07,3
381,18727,2024-12-15,Not as Expected,7666.52,5
382,28770,2024-06-26,Wrong Product,4507.09,6
383,23560,2025-01-01,Wrong Product,1030.7,2
384,22339,2024-07-02,Wrong Product,2526.66,8
385,2170,2024-03-03,Late Delivery,2807.71,4
386,21075,2024-12-23,Size Issue,3936.55,5
387,21735,2024-07-20,Wrong Product,1447.23,8
388,7400,2024-09-25,Not as Expected,3218.94,5
389,12065,2024-08-27,Not as Expected,6972.71,7
390,46152,2024-07-19,Late Delivery,1043.73,1
391,45090,2024-10-20,Wrong Product,4874.99,7
392,26611,2024-02-29,Late Delivery,4458.12,4
393,2640,2024-09-17,Wrong Product,1855.32,1
394,11454,2024-07-05,Size Issue,5101.59,2
395,32623,2024-10-25,Damaged,1813.29,2
396,44376,2024-06-10,Wrong Product,3169.02,6
397,38364,2024-05-12,Not as Expected,3283.89,2
398,36953,2024-09-26,Not as Expected,2108.87,3
399,37965,2024-03-11,Size Issue,1860.81,2
400,18466,2024-06-05,Wrong Product,2290.41,9
401,27030,2024-09-26,Size Issue,347.07,1
402,21180,2024-06-29,Damaged,6016.06,2
403,41306,2024-06-04,Wrong Product,6267.79,5
404,1895,2024-03-21,Damaged,2809.55,2
405,10595,2024-06-24,Size Issue,3083.26,3
406,10644,2024-08-10,Not as Expected,1843.58,9
407,44499,2024-06-17,Not as Expected,921.39,8
408,45172,2024-04-22,Not as Expected,2370.98,5
409,34909,2024-05-18,Size Issue,5400.84,6
410,34517,2024-11-19,Not as Expected,6591.64,9
411,4924,2024-09-19,Size Issue,3761.99,7
412,29914,2024-12-10,Damaged,855.14,4
413,38642,2025-01-08,Not as Expected,4043.53,5
414,29479,2024-12-19,Not as Expected,4549.09,8
415,20210,2024-01-28,Late Delivery,2544.14,6
416,11021,2024-08-13,Late Delivery,5674.81,6
417,46781,2024-09-28,Wrong Product,5634.91,7
418,34712,2024-10-25,Wrong Product,2306.1,8
419,14410,2025-01-07,Damaged,7783.45,6
420,49845,2024-12-27,Wrong Product,2424.8,9
421,39281,2024-10-19,Size Issue,4588.81,4
422,32489,2024-03-24,Wrong Product,1520.78,9
423,15316,2024-09-08,Damaged,6481.74,8
424,34348,2024-01-22,Late Delivery,1774.71,5
425,31652,2024-12-18,Not as Expected,4738.34,1
426,33264,2024-06-13,Late Delivery,4231.58,8
427,32709,2024-04-25,Not as Expected,1791.05,6
428,4883,2024-05-02,Damaged,5949.77,4
429,23223,2024-07-23,Not as Expected,5502.61,2
430,39366,2024-04-09,Wrong Product,7157.16,3
431,31542,2025-01-01,Wrong Product,6862.8,2
432,28404,2024-12-01,Wrong Product,6161.91,9
433,38029,2024-06-23,Size Issue,6098.34,9
434,16211,2024-02-02,Not as Expected,1539.27,9
435,49038,2024-09-02,Size Issue,6321.78,7
436,35720,2024-06-17,Size Issue,6027.41,9
437,16933,2024-09-03,Not as Expected,6752.19,8
438,42691,2024-07-26,Damaged,4913.49,2
439,4323,2024-02-09,Wrong Product,1702.63,1
440,34034,2024-07-03,Not as Expected,4456.82,8
441,1173,2024-04-12,Damaged,3287.13,7
442,8188,2024-01-20,Late Delivery,5247.21,9
443,48524,2024-08-11,Not as Expected,2816.14,4
444,13746,2024-04-18,Size Issue,3400.06,3
445,45368,2024-07-09,Not as Expected,4828.65,8
446,47066,2024-09-23,Wrong Product,7324.45,9
447,39078,2024-01-24,Late Delivery,4200.53,3
448,28471,2024-03-02,Not as Expected,4994.78,7
449,32425,2024-08-18,Late Delivery,1237.21,3
450,32690,2024-01-30,Size Issue,4874.39,7
451,48215,2024-01-12,Late Delivery,920.94,8
452,36359,2024-11-30,Size Issue,5713.66,4
453,30699,2024-01-17,Size Issue,1967.25,6
454,18748,2024-04-29,Late Delivery,4382.75,6
455,49750,2024-08-04,Wrong Product,4406.96,3
456,43831,2024-01-18,Late Delivery,1220.92,6
457,5501,2024-06-17,Late Delivery,6180.39,9
458,29873,2024-04-14,Wrong Product,915.9,5
459,39676,2024-05-12,Damaged,1999.1,5
460,27776,2024-12-21,Late Delivery,2663.01,3
461,28820,2024-08-26,Size Issue,879.88,6
462,30184,2024-03-07,Wrong Product,1644.64,4
463,19891,2024-11-06,Not as Expected,3102.38,6
464,20587,2024-12-17,Wrong Product,343.51,1
465,23481,2025-01-08,Wrong Product,6018.61,2
466,34691,2024-01-25,Late Delivery,6123.27,9
467,12514,2024-01-14,Wrong Product,3766.69,1
468,5237,2024-03-02,Size Issue,3659.2,7
469,49928,2024-02-08,Damaged,672.52,2
470,49966,2024-05-11,Size Issue,6138.88,2
471,45103,2024-05-15,Not as Expected,4376.72,6
472,14032,2024-10-10,Wrong Product,1440.38,2
473,39101,2024-03-17,Not as Expected,4396.0,2
474,31655,2024-08-04,Size Issue,4082.14,3
475,7021,2024-10-06,Late Delivery,1713.58,4
476,32015,2024-01-28,Wrong Product,4812.76,4
477,8455,2024-03-08,Wrong Product,1155.46,9
478,9770,2024-01-30,Wrong Product,3018.37,1
479,49954,2024-10-20,Late Delivery,6485.7,5
480,21905,2024-03-04,Late Delivery,5808.97,4
481,43654,2024-02-21,Size Issue,3780.3,2
482,39021,2024-07-14,Damaged,2365.0,2
483,6359,2024-09-20,Size Issue,1489.98,6
484,28047,2024-05-11,Size Issue,6676.61,6
485,4512,2024-10-29,Size Issue,641.44,5
486,38600,2024-06-02,Not as Expected,866.09,3
487,37807,2025-01-01,Wrong Product,3374.23,1
488,38493,2024-07-22,Wrong Product,907.78,5
489,4963,2024-12-04,Size Issue,4593.97,8
490,21431,2024-03-05,Size Issue,2737.83,1
491,46620,2024-11-04,Damaged,3555.96,7
492,4160,2024-08-04,Damaged,6046.52,4
493,18893,2024-03-09,Damaged,3817.64,7
494,14280,2024-12-07,Wrong Product,2637.22,5
495,10234,2024-07-14,Late Delivery,3708.87,2
496,31729,2024-01-20,Late Delivery,1336.5,1
497,31932,2024-12-04,Wrong Product,4667.62,3
498,39500,2024-01-26,Damaged,4665.51,4
499,48802,2024-09-25,Late Delivery,1499.58,9
500,43775,2024-11-27,Damaged,1315.1,6
501,41327,2024-06-08,Wrong Product,1475.59,8
502,11514,2024-01-11,Size Issue,2793.86,6
503,15192,2024-06-19,Not as Expected,3455.74,5
504,1595,2024-12-17,Wrong Product,6237.8,6
505,32546,2024-07-15,Wrong Product,6659.04,4
506,36434,2024-09-04,Damaged,3201.53,6
507,10414,2024-08-01,Wrong Product,1424.7,3
508,15284,2024-12-20,Not as Expected,2111.67,8
509,3729,2024-06-15,Wrong Product,3170.22,8
510,25608,2024-11-03,Damaged,1914.59,6
511,6277,2024-07-16,Late Delivery,290.84,1
512,10602,2024-03-13,Size Issue,5805.24,9
513,25123,2024-06-27,Damaged,778.51,1
514,13671,2024-06-15,Damaged,2894.6,3
515,41189,2024-05-14,Wrong Product,4223.57,9
516,31623,2024-12-19,Late Delivery,1546.25,7
517,15744,2024-04-13,Late Delivery,2142.92,1
518,45530,2024-03-03,Size Issue,1509.16,6
519,37431,2024-03-22,Damaged,3557.21,9
520,12841,2024-01-31,Not as Expected,4491.18,6
521,49721,2024-05-15,Damaged,4598.13,4
522,17291,2024-06-15,Size Issue,529.98,4
523,19292,2024-09-01,Damaged,1103.71,4
524,4834,2024-10-12,Late Delivery,2815.82,1
525,30150,2024-10-10,Wrong Product,1608.61,8
526,41267,2024-12-03,Late Delivery,3841.15,5
527,44447,2024-07-21,Wrong Product,393.57,1
528,47609,2024-01-22,Not as Expected,2890.08,6
529,22386,2024-10-11,Late Delivery,5071.74,5
530,8627,2024-02-17,Wrong Product,5122.73,1
531,26174,2024-07-20,Damaged,2814.75,6
532,41337,2024-08-31,Late Delivery,6760.02,5
533,20097,2024-04-18,Size Issue,2180.96,2
534,20482,2024-06-06,Late Delivery,1447.87,4
535,49444,2024-10-22,Not as Expected,1541.51,2
536,13258,2024-11-07,Wrong Product,7238.13,9
537,25704,2024-06-25,Damaged,3046.73,2
538,45164,2024-06-21,Wrong Product,3589.23,4
539,30195,2024-04-04,Size Issue,4745.95,2
540,27285,2024-11-14,Damaged,4477.91,7
541,22365,2024-04-15,Not as Expected,5381.08,1
542,396,2024-12-03,Size Issue,3184.56,7
543,14153,2024-03-05,Damaged,7417.13,9
544,4543,2024-03-21,Damaged,3956.08,1
545,46871,2024-07-03,Late Delivery,524.58,2
546,17768,2024-04-14,Wrong Product,3531.15,9
547,16510,2024-04-06,Late Delivery,1362.07,3
548,20189,2024-01-14,Wrong Product,5042.93,9
549,47761,2024-12-05,Damaged,6612.5,9
550,9339,2024-12-22,Late Delivery,1335.8,7
551,22169,2024-08-22,Size Issue,5504.1,9
