product_id,category,sub_category,cost_price,supplier
48,Electronics,Mobile,1541,Supplier_44
49,Electronics,Mobile,3662,Supplier_37
50,Electronics,Mobile,3790,Supplier_35
51,Electronics,Mobile,1359,Supplier_9
52,Electronics,Mobile,4826,Supplier_21
53,Electronics,Mobile,3922,Supplier_14
54,Electronics,Mobile,3638,Supplier_49
55,Electronics,Mobile,3760,Supplier_3
56,Electronics,Mobile,3282,Supplier_38
57,Electronics,Mobile,1915,Supplier_12
58,Electronics,Mobile,2443,Supplier_22
59,Electronics,Mobile,1960,Supplier_5
60,Electronics,Mobile,4207,Supplier_8
61,Electronics,Mobile,1996,Supplier_18
62,Electronics,Mobile,2875,Supplier_10
63,Electronics,Laptop,3436,Supplier_49
64,Electronics,Laptop,243,Supplier_27
65,Electronics,Laptop,688,Supplier_11
66,Electronics,Laptop,4476,Supplier_45
67,Electronics,Laptop,3348,Supplier_24
68,Electronics,Laptop,4923,Supplier_36
69,Electronics,Laptop,1156,Supplier_11
70,Electronics,Laptop,2314,Supplier_29
71,Electronics,Laptop,1315,Supplier_16
72,Electronics,Laptop,1981,Supplier_38
73,Electronics,Laptop,3026,Supplier_3
74,Electronics,Laptop,850,Supplier_9
75,Electronics,Laptop,2076,Supplier_7
76,Electronics,Laptop,540,Supplier_41
77,Electronics,Laptop,3150,Supplier_40
78,Electronics,Laptop,3575,Supplier_25
79,Electronics,Laptop,2645,Supplier_50
80,Electronics,Laptop,2950,Supplier_11
81,Electronics,Laptop,2344,Supplier_2
82,Electronics,Laptop,1554,Supplier_32
83,Electronics,Laptop,3476,Supplier_6
84,Electronics,Laptop,648,Supplier_1
85,Electronics,Laptop,4372,Supplier_1
86,Electronics,Laptop,4844,Supplier_12
87,Electronics,Laptop,997,Supplier_6
88,Electronics,Laptop,3696,Supplier_46
89,Electronics,Laptop,2382,Supplier_42
90,Electronics,Laptop,3526,Supplier_38
91,Electronics,Laptop,845,Supplier_19
92,Electronics,Laptop,919,Supplier_27
93,Electronics,Laptop,1722,Supplier_45
94,Electronics,Laptop,1269,Supplier_50
95,Electronics,Laptop,4943,Supplier_31
96,Electronics,Laptop,4874,Supplier_45
97,Electronics,Laptop,3275,Supplier_9
98,Electronics,Laptop,4007,Supplier_14
99,Electronics,Laptop,3561,Supplier_10
100,Electronics,Laptop,2356,Supplier_41
101,Electronics,Laptop,4755,Supplier_18
102,Electronics,Laptop,2513,Supplier_34
103,Electronics,Laptop,3705,Supplier_29
104,Electronics,Laptop,4339,Supplier_27
105,Electronics,Laptop,832,Supplier_16
106,Electronics,Laptop,2399,Supplier_12
107,Electronics,Laptop,3263,Supplier_40
108,Electronics,Laptop,3110,Supplier_45
109,Electronics,Laptop,822,Supplier_3
110,Electronics,Laptop,560,Supplier_39
111,Electronics,Laptop,2567,Supplier_12
112,Electronics,Laptop,409,Supplier_46
113,Electronics,Laptop,3667,Supplier_32
114,Electronics,Laptop,1130,Supplier_40
115,Electronics,Laptop,4784,Supplier_6
116,Electronics,Laptop,4143,Supplier_41
117,Electronics,Laptop,4896,Supplier_20
118,Electronics,Laptop,1077,Supplier_23
119,Electronics,Laptop,4995,Supplier_27
120,Electronics,Laptop,2699,Supplier_1
121,Electronics,Laptop,2723,Supplier_36
122,Electronics,Laptop,4551,Supplier_16
123,Electronics,Laptop,591,Supplier_13
124,Electronics,Laptop,4102,Supplier_8
125,Electronics,Headphones,2521,Supplier_34
126,Electronics,Headphones,4181,Supplier_7
127,Electronics,Headphones,338,Supplier_40
128,Electronics,Headphones,302,Supplier_24
129,Electronics,Headphones,683,Supplier_49
130,Electronics,Headphones,4519,Supplier_35
131,Electronics,Headphones,4273,Supplier_33
132,Electronics,Headphones,2048,Supplier_15
133,Electronics,Headphones,2084,Supplier_30
134,Electronics,Headphones,3405,Supplier_50
135,Electronics,Headphones,2361,Supplier_41
136,Electronics,Headphones,1664,Supplier_43
137,Electronics,Headphones,843,Supplier_14
138,Electronics,Headphones,3636,Supplier_18
139,Electronics,Headphones,4753,Supplier_4
140,Electronics,Headphones,810,Supplier_13
141,Electronics,Headphones,4502,Supplier_8
142,Electronics,Headphones,1743,Supplier_10
143,Electronics,Headphones,3739,Supplier_44
144,Electronics,Headphones,1666,Supplier_31
145,Electronics,Headphones,1116,Supplier_32
146,Electronics,Headphones,1381,Supplier_12
147,Electronics,Headphones,2346,Supplier_11
148,Electronics,Headphones,2472,Supplier_43
149,Electronics,Headphones,1051,Supplier_3
150,Electronics,Headphones,4736,Supplier_4
151,Electronics,Headphones,919,Supplier_42
152,Electronics,Headphones,4880,Supplier_24
153,Electronics,Headphones,2214,Supplier_19
154,Electronics,Headphones,3672,Supplier_14
155,Electronics,Headphones,3842,Supplier_28
156,Electronics,Headphones,4070,Supplier_17
157,Electronics,Headphones,263,Supplier_22
158,Electronics,Headphones,759,Supplier_40
159,Electronics,Headphones,1933,Supplier_49
160,Electronics,Headphones,869,Supplier_30
161,Electronics,Headphones,4094,Supplier_3
162,Electronics,Headphones,1742,Supplier_7
163,Electronics,Headphones,1471,Supplier_48
164,Electronics,Headphones,2615,Supplier_4
165,Electronics,Headphones,2991,Supplier_35
166,Electronics,Headphones,4913,Supplier_12
167,Electronics,Headphones,3254,Supplier_11
168,Electronics,Headphones,2658,Supplier_2
169,Electronics,Headphones,3265,Supplier_32
170,Electronics,Headphones,1363,Supplier_33
171,Electronics,Headphones,4759,Supplier_8
172,Electronics,Headphones,2949,Supplier_5
173,Electronics,Headphones,2148,Supplier_16
174,Electronics,Headphones,259,Supplier_47
175,Electronics,Headphones,3302,Supplier_29
176,Electronics,Headphones,532,Supplier_38
177,Electronics,Headphones,4371,Supplier_38
178,Electronics,Headphones,389,Supplier_21
179,Electronics,Headphones,3760,Supplier_27
180,Electronics,Headphones,495,Supplier_13
181,Electronics,Headphones,2748,Supplier_48
182,Electronics,Headphones,376,Supplier_44
183,Electronics,Headphones,999,Supplier_21
184,Electronics,Headphones,1005,Supplier_15
185,Electronics,Headphones,1942,Supplier_50
186,Electronics,Headphones,414,Supplier_8
187,Electronics,Smartwatch,2079,Supplier_21
188,Electronics,Smartwatch,2900,Supplier_15
189,Electronics,Smartwatch,796,Supplier_7
190,Electronics,Smartwatch,1917,Supplier_16
191,Electronics,Smartwatch,1555,Supplier_48
192,Electronics,Smartwatch,4423,Supplier_27
193,Electronics,Smartwatch,1492,Supplier_13
194,Electronics,Smartwatch,2798,Supplier_25
195,Electronics,Smartwatch,3637,Supplier_15
196,Electronics,Smartwatch,4914,Supplier_5
197,Electronics,Smartwatch,341,Supplier_31
198,Electronics,Smartwatch,3416,Supplier_38
199,Electronics,Smartwatch,3039,Supplier_32
200,Electronics,Smartwatch,4540,Supplier_4
201,Electronics,Smartwatch,3713,Supplier_28
202,Electronics,Smartwatch,2950,Supplier_10
203,Electronics,Smartwatch,1914,Supplier_14
204,Electronics,Smartwatch,1335,Supplier_40
205,Electronics,Smartwatch,3921,Supplier_30
206,Electronics,Smartwatch,2109,Supplier_12
207,Electronics,Smartwatch,2447,Supplier_25
208,Electronics,Smartwatch,4716,Supplier_24
209,Electronics,Smartwatch,4302,Supplier_9
210,Electronics,Smartwatch,1748,Supplier_30
211,Electronics,Smartwatch,2839,Supplier_47
212,Electronics,Smartwatch,4966,Supplier_13
213,Electronics,Smartwatch,4711,Supplier_41
214,Electronics,Smartwatch,3031,Supplier_23
215,Electronics,Smartwatch,1206,Supplier_18
216,Electronics,Smartwatch,3421,Supplier_13
217,Electronics,Smartwatch,3262,Supplier_22
218,Electronics,Smartwatch,4723,Supplier_9
219,Electronics,Smartwatch,3252,Supplier_3
220,Electronics,Smartwatch,4629,Supplier_45
221,Electronics,Smartwatch,2519,Supplier_37
222,Electronics,Smartwatch,3739,Supplier_4
223,Electronics,Smartwatch,2566,Supplier_18
224,Electronics,Smartwatch,726,Supplier_9
225,Electronics,Smartwatch,3007,Supplier_8
226,Electronics,Smartwatch,1395,Supplier_30
227,Electronics,Smartwatch,1953,Supplier_30
228,Electronics,Smartwatch,1872,Supplier_27
229,Electronics,Smartwatch,2228,Supplier_11
230,Electronics,Smartwatch,1854,Supplier_49
231,Electronics,Smartwatch,4749,Supplier_22
232,Electronics,Smartwatch,4241,Supplier_15
233,Electronics,Smartwatch,1047,Supplier_19
234,Electronics,Smartwatch,1067,Supplier_39
235,Electronics,Smartwatch,973,Supplier_11
236,Electronics,Smartwatch,742,Supplier_41
237,Electronics,Smartwatch,4617,Supplier_40
238,Electronics,Smartwatch,985,Supplier_11
239,Electronics,Smartwatch,3505,Supplier_37
240,Electronics,Smartwatch,4835,Supplier_36
241,Electronics,Smartwatch,3083,Supplier_15
242,Electronics,Smartwatch,648,Supplier_6
243,Electronics,Smartwatch,3510,Supplier_27
244,Electronics,Smartwatch,4785,Supplier_34
245,Electronics,Smartwatch,2105,Supplier_32
246,Electronics,Smartwatch,4759,Supplier_14
247,Electronics,Smartwatch,4609,Supplier_38
248,Electronics,Smartwatch,3451,Supplier_31
249,Fashion,Shirt,584,Supplier_30
250,Fashion,Shirt,494,Supplier_18
251,Fashion,Shirt,1438,Supplier_1
252,Fashion,Shirt,3016,Supplier_47
253,Fashion,Shirt,1298,Supplier_28
254,Fashion,Shirt,1937,Supplier_48
255,Fashion,Shirt,2389,Supplier_16
256,Fashion,Shirt,2965,Supplier_16
257,Fashion,Shirt,1422,Supplier_21
258,Fashion,Shirt,3442,Supplier_28
259,Fashion,Shirt,4099,Supplier_38
260,Fashion,Shirt,4523,Supplier_15
261,Fashion,Shirt,610,Supplier_38
262,Fashion,Shirt,3199,Supplier_10
263,Fashion,Shirt,3145,Supplier_37
264,Fashion,Shirt,4986,Supplier_1
265,Fashion,Shirt,1077,Supplier_27
266,Fashion,Shirt,986,Supplier_3
267,Fashion,Shirt,2309,Supplier_3
268,Fashion,Shirt,2186,Supplier_31
269,Fashion,Shirt,1078,Supplier_47
270,Fashion,Shirt,1807,Supplier_50
271,Fashion,Shirt,2603,Supplier_33
272,Fashion,Shirt,270,Supplier_3
273,Fashion,Shirt,2510,Supplier_28
274,Fashion,Shirt,4601,Supplier_34
275,Fashion,Shirt,3495,Supplier_26
276,Fashion,Shirt,961,Supplier_31
277,Fashion,Shirt,4883,Supplier_45
278,Fashion,Shirt,2321,Supplier_7
279,Fashion,Shirt,3782,Supplier_29
280,Fashion,Shirt,4397,Supplier_32
281,Fashion,Shirt,1829,Supplier_16
282,Fashion,Shirt,4488,Supplier_6
283,Fashion,Shirt,1285,Supplier_36
284,Fashion,Shirt,2657,Supplier_49
285,Fashion,Shirt,4595,Supplier_1
286,Fashion,Shirt,3466,Supplier_45
287,Fashion,Shirt,653,Supplier_47
288,Fashion,Shirt,2821,Supplier_27
289,Fashion,Shirt,818,Supplier_14
290,Fashion,Shirt,836,Supplier_9
291,Fashion,Shirt,2548,Supplier_23
292,Fashion,Shirt,3236,Supplier_19
293,Fashion,Shirt,2449,Supplier_16
294,Fashion,Shirt,2921,Supplier_42
295,Fashion,Shirt,2549,Supplier_6
296,Fashion,Shirt,4632,Supplier_2
297,Fashion,Shirt,2194,Supplier_31
298,Fashion,Shirt,3020,Supplier_43
299,Fashion,Shirt,1271,Supplier_20
300,Fashion,Shirt,2231,Supplier_11
301,Fashion,Shirt,1449,Supplier_46
302,Fashion,Shirt,1495,Supplier_30
303,Fashion,Shirt,3756,Supplier_37
304,Fashion,Shirt,527,Supplier_48
305,Fashion,Shirt,996,Supplier_38
306,Fashion,Shirt,3061,Supplier_2
307,Fashion,Shirt,4960,Supplier_30
308,Fashion,Shirt,2993,Supplier_30
309,Fashion,Shirt,3294,Supplier_50
310,Fashion,Shirt,3177,Supplier_9
311,Fashion,Jeans,1162,Supplier_46
312,Fashion,Jeans,1468,Supplier_26
313,Fashion,Jeans,572,Supplier_12
314,Fashion,Jeans,4580,Supplier_24
315,Fashion,Jeans,2768,Supplier_41
316,Fashion,Jeans,4942,Supplier_30
317,Fashion,Jeans,3893,Supplier_46
318,Fashion,Jeans,1804,Supplier_41
319,Fashion,Jeans,295,Supplier_1
320,Fashion,Jeans,4569,Supplier_41
321,Fashion,Jeans,4141,Supplier_5
322,Fashion,Jeans,1400,Supplier_25
323,Fashion,Jeans,4144,Supplier_45
324,Fashion,Jeans,331,Supplier_22
325,Fashion,Jeans,3315,Supplier_34
326,Fashion,Jeans,1590,Supplier_3
327,Fashion,Jeans,1349,Supplier_19
328,Fashion,Jeans,3710,Supplier_28
329,Fashion,Jeans,3847,Supplier_49
330,Fashion,Jeans,1007,Supplier_18
331,Fashion,Jeans,250,Supplier_45
332,Fashion,Jeans,3408,Supplier_40
333,Fashion,Jeans,255,Supplier_35
334,Fashion,Jeans,3864,Supplier_37
335,Fashion,Jeans,943,Supplier_14
336,Fashion,Jeans,4738,Supplier_44
337,Fashion,Jeans,3076,Supplier_6
338,Fashion,Jeans,279,Supplier_40
339,Fashion,Jeans,4672,Supplier_22
340,Fashion,Jeans,4140,Supplier_48
341,Fashion,Jeans,3166,Supplier_4
342,Fashion,Jeans,3928,Supplier_33
343,Fashion,Jeans,4736,Supplier_44
344,Fashion,Jeans,325,Supplier_24
345,Fashion,Jeans,418,Supplier_4
346,Fashion,Jeans,1147,Supplier_8
347,Fashion,Jeans,4573,Supplier_25
348,Fashion,Jeans,794,Supplier_24
349,Fashion,Jeans,340,Supplier_30
350,Fashion,Jeans,3093,Supplier_40
351,Fashion,Jeans,3255,Supplier_3
352,Fashion,Jeans,1830,Supplier_24
353,Fashion,Jeans,1076,Supplier_24
354,Fashion,Jeans,4405,Supplier_12
355,Fashion,Jeans,2860,Supplier_42
356,Fashion,Jeans,3590,Supplier_36
357,Fashion,Jeans,2229,Supplier_46
358,Fashion,Jeans,2752,Supplier_5
359,Fashion,Jeans,3811,Supplier_36
360,Fashion,Jeans,1240,Supplier_46
361,Fashion,Jeans,514,Supplier_50
362,Fashion,Jeans,3659,Supplier_14
363,Fashion,Jeans,4372,Supplier_9
364,Fashion,Jeans,3225,Supplier_22
365,Fashion,Jeans,3146,Supplier_16
366,Fashion,Jeans,3436,Supplier_35
367,Fashion,Jeans,3880,Supplier_8
368,Fashion,Jeans,3306,Supplier_42
369,Fashion,Jeans,1737,Supplier_31
370,Fashion,Jeans,4072,Supplier_48
371,Fashion,Jeans,2067,Supplier_49
372,Fashion,Jeans,1361,Supplier_38
373,Fashion,Shoes,4120,Supplier_45
374,Fashion,Shoes,4082,Supplier_14
375,Fashion,Shoes,2956,Supplier_49
376,Fashion,Shoes,2112,Supplier_48
377,Fashion,Shoes,464,Supplier_49
378,Fashion,Shoes,4628,Supplier_15
379,Fashion,Shoes,1502,Supplier_21
380,Fashion,Shoes,1394,Supplier_23
381,Fashion,Shoes,1726,Supplier_18
382,Fashion,Shoes,3804,Supplier_33
383,Fashion,Shoes,4594,Supplier_44
384,Fashion,Shoes,2448,Supplier_28
385,Fashion,Shoes,1358,Supplier_18
386,Fashion,Shoes,4567,Supplier_4
387,Fashion,Shoes,4830,Supplier_5
388,Fashion,Shoes,3713,Supplier_24
389,Fashion,Shoes,2278,Supplier_23
390,Fashion,Shoes,1344,Supplier_29
391,Fashion,Shoes,268,Supplier_32
392,Fashion,Shoes,3917,Supplier_33
393,Fashion,Shoes,3208,Supplier_34
394,Fashion,Shoes,1026,Supplier_8
395,Fashion,Shoes,1369,Supplier_31
396,Fashion,Shoes,1183,Supplier_46
397,Fashion,Shoes,4776,Supplier_35
398,Fashion,Shoes,4177,Supplier_44
399,Fashion,Shoes,3534,Supplier_35
400,Fashion,Shoes,2540,Supplier_19
401,Fashion,Shoes,2215,Supplier_29
402,Fashion,Shoes,1652,Supplier_40
403,Fashion,Shoes,2333,Supplier_24
404,Fashion,Shoes,1239,Supplier_44
405,Fashion,Shoes,4923,Supplier_45
406,Fashion,Shoes,4413,Supplier_5
407,Fashion,Shoes,3666,Supplier_13
408,Fashion,Shoes,3226,Supplier_30
409,Fashion,Shoes,4457,Supplier_6
410,Fashion,Shoes,2947,Supplier_6
411,Fashion,Shoes,4462,Supplier_26
412,Fashion,Shoes,4595,Supplier_12
413,Fashion,Shoes,3695,Supplier_19
414,Fashion,Shoes,4055,Supplier_5
415,Fashion,Shoes,761,Supplier_7
416,Fashion,Shoes,2403,Supplier_11
417,Fashion,Shoes,3619,Supplier_18
418,Fashion,Shoes,1344,Supplier_8
419,Fashion,Shoes,2899,Supplier_45
420,Fashion,Shoes,1751,Supplier_10
421,Fashion,Shoes,4221,Supplier_32
422,Fashion,Shoes,760,Supplier_10
423,Fashion,Shoes,1387,Supplier_14
424,Fashion,Shoes,3333,Supplier_34
425,Fashion,Shoes,3611,Supplier_41
426,Fashion,Shoes,1889,Supplier_2
427,Fashion,Shoes,4607,Supplier_19
428,Fashion,Shoes,2623,Supplier_27
429,Fashion,Shoes,1569,Supplier_44
430,Fashion,Shoes,780,Supplier_35
431,Fashion,Shoes,1176,Supplier_9
432,Fashion,Shoes,4472,Supplier_31
433,Fashion,Shoes,4809,Supplier_23
434,Fashion,Shoes,2556,Supplier_27
435,Fashion,Jacket,318,Supplier_29
436,Fashion,Jacket,1742,Supplier_48
437,Fashion,Jacket,3243,Supplier_42
438,Fashion,Jacket,1172,Supplier_2
439,Fashion,Jacket,1115,Supplier_19
440,Fashion,Jacket,1637,Supplier_13
441,Fashion,Jacket,786,Supplier_5
442,Fashion,Jacket,550,Supplier_2
443,Fashion,Jacket,4791,Supplier_15
444,Fashion,Jacket,2762,Supplier_34
445,Fashion,Jacket,2070,Supplier_42
446,Fashion,Jacket,472,Supplier_22
447,Fashion,Jacket,3127,Supplier_27
448,Fashion,Jacket,4558,Supplier_38
449,Fashion,Jacket,3639,Supplier_22
450,Fashion,Jacket,3241,Supplier_42
451,Fashion,Jacket,4148,Supplier_42
452,Fashion,Jacket,1964,Supplier_21
453,Fashion,Jacket,4490,Supplier_32
454,Fashion,Jacket,1970,Supplier_38
455,Fashion,Jacket,1722,Supplier_43
456,Fashion,Jacket,1031,Supplier_45
457,Fashion,Jacket,761,Supplier_34
458,Fashion,Jacket,3740,Supplier_36
459,Fashion,Jacket,4336,Supplier_29
460,Fashion,Jacket,1679,Supplier_30
461,Fashion,Jacket,4666,Supplier_20
462,Fashion,Jacket,1405,Supplier_37
463,Fashion,Jacket,856,Supplier_9
464,Fashion,Jacket,4140,Supplier_20
465,Fashion,Jacket,789,Supplier_11
466,Fashion,Jacket,4526,Supplier_17
467,Fashion,Jacket,1571,Supplier_15
468,Fashion,Jacket,4774,Supplier_31
469,Fashion,Jacket,3951,Supplier_24
470,Fashion,Jacket,3959,Supplier_19
471,Fashion,Jacket,2300,Supplier_50
472,Fashion,Jacket,2084,Supplier_4
473,Fashion,Jacket,947,Supplier_10
474,Fashion,Jacket,663,Supplier_23
475,Fashion,Jacket,953,Supplier_19
476,Fashion,Jacket,782,Supplier_30
477,Fashion,Jacket,2405,Supplier_11
478,Fashion,Jacket,4314,Supplier_40
479,Fashion,Jacket,4350,Supplier_11
480,Fashion,Jacket,4227,Supplier_46
481,Fashion,Jacket,3553,Supplier_35
482,Fashion,Jacket,3008,Supplier_19
483,Fashion,Jacket,3803,Supplier_12
484,Fashion,Jacket,4113,Supplier_12
485,Fashion,Jacket,1619,Supplier_46
486,Fashion,Jacket,2367,Supplier_45
487,Fashion,Jacket,2344,Supplier_43
488,Fashion,Jacket,2367,Supplier_10
489,Fashion,Jacket,1760,Supplier_11
490,Fashion,Jacket,1376,Supplier_16
491,Fashion,Jacket,1468,Supplier_8
492,Fashion,Jacket,3787,Supplier_3
493,Fashion,Jacket,1366,Supplier_21
494,Fashion,Jacket,3775,Supplier_37
495,Fashion,Jacket,3041,Supplier_9
496,Fashion,Jacket,2070,Supplier_29
497,Home,Mixer,4129,Supplier_17
498,Home,Mixer,2467,Supplier_24
499,Home,Mixer,3086,Supplier_12
500,Home,Mixer,359,Supplier_14
501,Home,Mixer,2858,Supplier_36
502,Home,Mixer,3963,Supplier_46
503,Home,Mixer,4934,Supplier_3
504,Home,Mixer,1255,Supplier_43
505,Home,Mixer,533,Supplier_21
506,Home,Mixer,3796,Supplier_23
507,Home,Mixer,1091,Supplier_10
508,Home,Mixer,3187,Supplier_24
509,Home,Mixer,4647,Supplier_29
510,Home,Mixer,1562,Supplier_35
511,Home,Mixer,1125,Supplier_11
512,Home,Mixer,2643,Supplier_35
513,Home,Mixer,2777,Supplier_20
514,Home,Mixer,4180,Supplier_8
515,Home,Mixer,2605,Supplier_2
516,Home,Mixer,1619,Supplier_26
517,Home,Mixer,3075,Supplier_32
518,Home,Mixer,259,Supplier_50
519,Home,Mixer,2724,Supplier_10
520,Home,Mixer,3997,Supplier_30
521,Home,Mixer,2859,Supplier_21
522,Home,Mixer,4296,Supplier_10
523,Home,Mixer,1778,Supplier_1
524,Home,Mixer,4606,Supplier_48
525,Home,Mixer,3305,Supplier_35
526,Home,Mixer,907,Supplier_33
527,Home,Mixer,1980,Supplier_22
528,Home,Mixer,2613,Supplier_42
529,Home,Mixer,3606,Supplier_46
530,Home,Mixer,2361,Supplier_19
531,Home,Mixer,3739,Supplier_31
532,Home,Mixer,808,Supplier_19
533,Home,Mixer,508,Supplier_49
534,Home,Mixer,4507,Supplier_37
535,Home,Mixer,2564,Supplier_43
536,Home,Mixer,384,Supplier_10
537,Home,Mixer,445,Supplier_37
538,Home,Mixer,438,Supplier_47
539,Home,Mixer,719,Supplier_29
540,Home,Mixer,4107,Supplier_22
541,Home,Mixer,476,Supplier_45
542,Home,Mixer,4228,Supplier_8
543,Home,Mixer,4509,Supplier_47
544,Home,Mixer,805,Supplier_31
545,Home,Mixer,4773,Supplier_3
546,Home,Mixer,4803,Supplier_9
547,Home,Mixer,4253,Supplier_44
548,Home,Mixer,2912,Supplier_36
549,Home,Mixer,341,Supplier_8
550,Home,Mixer,3861,Supplier_20
551,Home,Mixer,2569,Supplier_2
552,Home,Mixer,1917,Supplier_26
553,Home,Mixer,4756,Supplier_40
554,Home,Mixer,4965,Supplier_15
555,Home,Mixer,3627,Supplier_29
556,Home,Mixer,2524,Supplier_23
557,Home,Mixer,2044,Supplier_6
558,Home,Mixer,599,Supplier_21
559,Home,Cookware,4963,Supplier_4
560,Home,Cookware,2763,Supplier_39
561,Home,Cookware,1722,Supplier_42
562,Home,Cookware,1534,Supplier_13
563,Home,Cookware,2823,Supplier_38
564,Home,Cookware,438,Supplier_34
565,Home,Cookware,3415,Supplier_15
566,Home,Cookware,3847,Supplier_50
567,Home,Cookware,1816,Supplier_18
568,Home,Cookware,2629,Supplier_13
569,Home,Cookware,3852,Supplier_2
570,Home,Cookware,1921,Supplier_6
571,Home,Cookware,1472,Supplier_35
572,Home,Cookware,3339,Supplier_29
573,Home,Cookware,3078,Supplier_44
574,Home,Cookware,1735,Supplier_43
575,Home,Cookware,735,Supplier_6
576,Home,Cookware,1148,Supplier_33
577,Home,Cookware,2842,Supplier_26
578,Home,Cookware,4141,Supplier_13
579,Home,Cookware,1221,Supplier_32
580,Home,Cookware,633,Supplier_21
581,Home,Cookware,1603,Supplier_39
582,Home,Cookware,3711,Supplier_39
583,Home,Cookware,3135,Supplier_33
584,Home,Cookware,4464,Supplier_4
585,Home,Cookware,3533,Supplier_43
586,Home,Cookware,1802,Supplier_24
587,Home,Cookware,428,Supplier_26
588,Home,Cookware,4722,Supplier_10
589,Home,Cookware,4417,Supplier_46
590,Home,Cookware,2396,Supplier_28
591,Home,Cookware,3099,Supplier_24
592,Home,Cookware,310,Supplier_25
593,Home,Cookware,1444,Supplier_24
594,Home,Cookware,4359,Supplier_1
595,Home,Cookware,2885,Supplier_19
596,Home,Cookware,4001,Supplier_23
597,Home,Cookware,4067,Supplier_23
598,Home,Cookware,1577,Supplier_20
599,Home,Cookware,1971,Supplier_29
600,Home,Cookware,212,Supplier_36
601,Home,Cookware,4534,Supplier_6
602,Home,Cookware,3461,Supplier_14
603,Home,Cookware,862,Supplier_47
604,Home,Cookware,3292,Supplier_29
605,Home,Cookware,893,Supplier_48
606,Home,Cookware,3590,Supplier_27
607,Home,Cookware,1381,Supplier_29
608,Home,Cookware,3218,Supplier_19
609,Home,Cookware,1704,Supplier_11
610,Home,Cookware,2102,Supplier_47
611,Home,Cookware,4371,Supplier_28
612,Home,Cookware,528,Supplier_47
613,Home,Cookware,1639,Supplier_27
614,Home,Cookware,4046,Supplier_9
615,Home,Cookware,4367,Supplier_38
616,Home,Cookware,424,Supplier_39
617,Home,Cookware,2720,Supplier_6
618,Home,Cookware,3914,Supplier_10
619,Home,Cookware,2607,Supplier_14
620,Home,Cookware,1010,Supplier_20
621,Home,Bedsheet,3317,Supplier_31
622,Home,Bedsheet,4973,Supplier_34
623,Home,Bedsheet,3490,Supplier_22
624,Home,Bedsheet,4586,Supplier_5
625,Home,Bedsheet,2451,Supplier_38
626,Home,Bedsheet,4861,Supplier_49
627,Home,Bedsheet,2729,Supplier_25
628,Home,Bedsheet,4806,Supplier_6
629,Home,Bedsheet,1123,Supplier_1
630,Home,Bedsheet,3252,Supplier_27
631,Home,Bedsheet,215,Supplier_41
632,Home,Bedsheet,3796,Supplier_18
633,Home,Bedsheet,2603,Supplier_27
634,Home,Bedsheet,4651,Supplier_12
635,Home,Bedsheet,4210,Supplier_36
636,Home,Bedsheet,2846,Supplier_30
637,Home,Bedsheet,1301,Supplier_46
638,Home,Bedsheet,3175,Supplier_37
639,Home,Bedsheet,1290,Supplier_49
640,Home,Bedsheet,3106,Supplier_9
641,Home,Bedsheet,1946,Supplier_13
642,Home,Bedsheet,4509,Supplier_12
643,Home,Bedsheet,1920,Supplier_25
644,Home,Bedsheet,648,Supplier_19
645,Home,Bedsheet,3212,Supplier_36
